car,move
X,-1
AB,-1
X,1
P,1
AD,1
AB,1
R,-1
X,1
AF,1
X,1
AB,-1
B,-1
P,-1
R,1
W,-1
X,1
AP,1
F,-1
Y,-1
A,-1
R,-1
A,1
AJ,1
F,1
AB,1
X,1
X,1
AJ,-1
X,1
X,1
